店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
わらやき屋 上野御徒町,050-5487-4886,,東京都,台東区,上野1-20-11,上野鈴乃屋本店ビル4F,,False
刺身と魚飯 FUNEYA 野洲店,050-5484-6229,,滋賀県,野洲市,小篠原2111,,https://ka3d903.gorp.jp/,True
木曽路 南千住店,050-5485-0773,,東京都,荒川区,南千住5-6-15,,https://909kisoji.gorp.jp/,True
なすび 総本店,050-5485-6135,honten@nasubi-ltd.co.jp,静岡県,静岡市清水区,富士見町5-8,,https://n060900.gorp.jp/,True
翠翔（スイショウ） 近江八幡店,050-5488-0241,,滋賀県,近江八幡市,鷹飼町521-1,,https://kde8002.gorp.jp/,True
北鎌倉 円,050-5487-5105,,神奈川県,鎌倉市,山ノ内501,,https://gc5f301.gorp.jp/,True
木曽路 上落合店,050-5484-6695,,東京都,新宿区,上落合2-27-6,,https://284kisoji.gorp.jp/,True
和食 桃栗,050-5484-8489,,埼玉県,さいたま市大宮区,大門町2-108-4,2F,https://momokuri.gorp.jp/,True
神楽坂 てしごとや 霽月,050-5486-2915,seigetsu@teshigotoya.net,東京都,新宿区,神楽坂6-77,神谷ビル2F,https://seigetsu-kagurazaka.gorp.jp/,True
おでん・さかな・日本酒 隠れ家酒場 ～雅～MIYABI 金山本店,050-5494-3787,,愛知県,名古屋市中区,金山2-8-4,エスポア金山1F,https://nbwt203.gorp.jp/,True
日光湯波巻き 全 ZEN,050-5485-2554,,栃木県,日光市,上鉢石町1007,,https://nikkoyubamakizen.gorp.jp/,True
全席個室 居酒屋 あや鶏 大橋駅前店,050-5486-7248,,福岡県,福岡市南区,大橋1-1-13,ひがしビル1F,https://ayadori-ohashi.gorp.jp/,True
和食麺処サガミ一宮今伊勢店,050-5494-1594,,愛知県,一宮市,今伊勢町新神戸九反野56-1,,https://ncb7026.gorp.jp/,True
和牛鉄板割烹シンラ,050-5494-3147,,埼玉県,川越市,新富町2-15-10,,https://a600604.gorp.jp/,True
てまり,050-5493-6773,,愛知県,刈谷市,桜町1-17,,https://syunsaitemari.gorp.jp/,True
木曽路 鶴見寺尾店,050-5484-8293,,神奈川県,横浜市鶴見区,諏訪坂5-20,,https://297kisoji.gorp.jp/,True
木曽路 東大和店,050-5486-2850,,東京都,東大和市,桜が丘2-247-1,,https://288kisoji.gorp.jp/,True
木曽路 竹の塚店,050-5484-5199,,東京都,足立区,保木間4-3-7,,https://280kisoji.gorp.jp/,True
旨唐揚げと居酒メシ ミライザカ 府中並木通店,050-5492-3839,,東京都,府中市,宮西町1-2,並木西ビル3F,https://p920190.gorp.jp/,True
個室 居酒屋 まるし 錦糸町南口店,050-5486-1718,,東京都,墨田区,江東橋3-12-1,木戸ビル,https://e374702.gorp.jp/,True
上,050-5487-0872,,東京都,港区,西麻布2-24-14,バルビゾン73 B1,https://gb2c212.gorp.jp/,True
美酒旬菜 小ぼけ 京阪淀屋橋店,050-5485-7659,,大阪府,大阪市中央区,北浜3-2-25,京阪淀屋橋ビル2F,https://c521002.gorp.jp/,True
和食麺処サガミ豊田上野店,050-5494-1682,,愛知県,豊田市,上野町6-106-1,,https://ncb7081.gorp.jp/,True
完全個室 麹蔵 神田店,050-5484-9926,,東京都,千代田区,内神田3-13-4,東陽ビルB1・1F,https://g853149.gorp.jp/,True
梅の花 立場店,050-5484-7306,,神奈川県,横浜市泉区,中田北1-24-45,,https://tateba-umenohana.gorp.jp/,True
和彩厨房 KATURA,050-5484-5781,,大阪府,大阪市北区,中崎西3-2-17,朝日プラザ梅田東2 1F,https://kebm401.gorp.jp/,True
はたごや JR山科駅店,050-5486-3044,,京都府,京都市山科区,安朱中小路町5,ビエラ山科2F,https://k414502.gorp.jp/,True
木曽路 戸田店,050-5486-2848,,埼玉県,戸田市,新曽1725,,https://282kisoji.gorp.jp/,True
倉敷甲羅本店,050-5487-2119,,岡山県,倉敷市,東富井866-1,,https://kurashikikourahonten.gorp.jp/,True
和食麺処サガミ京都八幡店,050-5494-1636,,京都府,八幡市,八幡源氏垣外40,,https://kc52932.gorp.jp/,True
木曽路 碑文谷店,050-5485-0740,,東京都,目黒区,碑文谷3-17-15,,https://270kisoji.gorp.jp/,True
喜川,050-5494-6074,,東京都,千代田区,外神田2-16-2,第2DICビル1F,https://e640300.gorp.jp/,True
銀座 大志満（おおしま）,050-5486-0679,,東京都,中央区,銀座5-8-20,ギンザコアビル9F,https://g331901.gorp.jp/,True
和食 さんびょうし錦本店,050-5486-5649,,愛知県,名古屋市中区,錦3-15-30,アパホテル〈名古屋錦〉EXCELLENT別棟2F,https://sanbyoushi-nishiki.gorp.jp/,True
