店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
ザ ブッフェ ガーデン 阪急西宮ガーデンズ 店,050-5492-1356,,兵庫県,西宮市,高松町14-2,阪急西宮ガーデンズ4F,,
名物！5種から選べる生ハム盛り合わせ 生ハム 新宿店,050-5485-5806,,東京都,新宿区,新宿6-7-3,,,
ラ・オハナ 新横浜店,0570-019-977,,神奈川県,横浜市港北区,大豆戸町665-1,,,
鎌倉グリル 洋食ビストロ,050-5487-0741,,大阪府,大阪市北区,角田町8-47,阪急グランドビル29F,,
レインフォレストカフェ 舞浜,050-5489-0570,,千葉県,浦安市,舞浜1-4,イクスピアリ2F シアター・フロント,,
チーズ＆ドリア．スイーツ アスナル金山店,050-5489-2805,,愛知県,名古屋市中区,金山1-17-1,,,
ロイヤルホスト 大森北店,03-3766-2236,,東京都,大田区,大森北2-20-9,,,
スペインクラブ 茅ヶ崎,050-5486-6636,,神奈川県,茅ヶ崎市,新栄町10-25,,,
Aloha Table HAWAIIAN CAFE ＆ DINING,050-5485-7561,,静岡県,静岡市葵区,御幸町4-6,Denbill2F,,
スペイン料理 カラ カルメン,050-5487-8723,,愛知県,名古屋市中村区,則武1-4-1,,,
焼肉陽山道 篠崎店,050-5484-1957,,東京都,江戸川区,篠崎町2-6-10,石上ビル-3 2F,,
アウトバックステーキハウス 品川港南店,050-5484-8174,jn09@outbacksteakhouse.co.jp,東京都,港区,港南2-16-2,品川グランドコモンズ内 太陽生命品川ビル3F,,
サブロッソ,050-5492-0594,,埼玉県,川口市,戸塚東1-9-14,,,
ロイヤルホスト 津田沼駅前店,047-478-7981,,千葉県,習志野市,谷津7-7-1,,,
ロイヤルホスト 若林店,03-3413-7740,,東京都,世田谷区,若林5-32-22,,,
成田東武ホテルエアポート オアシス,050-5485-7680,,千葉県,成田市,取香320-1,,,
池袋ビアガーデン 漢方和牛とかき小屋,050-5485-4576,,東京都,豊島区,東池袋1-13-1,,,
厳選肉×バル ステーキハウス成田,050-5484-2123,,千葉県,成田市,花崎町538,はやしビル2F,,
